product_id,product_name,price,review_score,review_count,sales_month_1,sales_month_2,sales_month_3,sales_month_4,sales_month_5,sales_month_6,sales_month_7,sales_month_8,sales_month_9,sales_month_10,sales_month_11,sales_month_12,total_sales,avg_sales_per_month,success,category_Clothing,category_Electronics,category_Health,category_Home & Kitchen,category_Sports,category_Toys
1,Hoodie,-0.39628372369806086,-1.1340638568934804,-1.08640465639116,479,449,92,784,604,904,446,603,807,252,695,306,0.4044132778299419,0.4044132778299419,1,True,False,False,False,False,False
2,Cookware Set,1.5769317289387415,0.14726770784003884,1.3344757841717076,21,989,861,863,524,128,610,436,176,294,772,353,0.007146764084835557,0.007146764084835099,1,False,False,False,True,False,False
3,Train Set,0.8279124270367066,1.257755063942422,-1.2884400665113407,348,558,567,143,771,409,290,828,340,667,267,392,-0.44355915379349575,-0.4435591537934962,0,False,False,False,False,False,True
4,Remote Car,0.371277714995932,0.7452224380490142,1.5046108663781756,725,678,59,15,937,421,670,933,56,157,168,203,-1.0061853331583925,-1.006185333158393,0,False,False,False,False,False,True
5,Self-Help Book,-1.1446803419018579,1.0014887509957182,-1.08640465639116,682,451,649,301,620,293,411,258,854,548,770,257,0.0747022372343841,0.0747022372343834,1,False,False,False,False,False,False
6,Action Figure,-1.1447495289794398,0.48895612510231057,-0.9091806124260892,834,288,38,422,329,245,614,979,851,630,738,485,0.43667857843868146,0.4366785784386811,1,False,False,False,False,False,True
7,Laptop,-1.4800992940190814,0.6598003337334462,0.37392146588102376,565,140,539,244,188,700,896,965,447,66,32,516,-0.7278971154080135,-0.7278971154080139,0,False,True,False,False,False,False
8,Camera,1.2874529963359227,1.1723329596268544,1.3451092268096119,905,83,48,926,94,555,280,102,202,753,376,445,-1.26128286609624,-1.2612828660962403,0,False,True,False,False,False,False
9,Camera,0.3796493513833465,-0.8777975439467767,1.1395293358101297,809,693,419,106,616,85,42,992,696,298,213,708,-0.34575496132325384,-0.3457549613232545,0,False,True,False,False,False,False
10,Shirt,0.7459949271796952,-0.02357650079109719,-0.44839809811690495,319,390,636,87,7,555,485,566,632,462,561,179,-1.1503708952536975,-1.1503708952536984,0,True,False,False,False,False,False
