product_id,product_name,price,review_score,review_count,sales_month_1,sales_month_2,sales_month_3,sales_month_4,sales_month_5,sales_month_6,sales_month_7,sales_month_8,sales_month_9,sales_month_10,sales_month_11,sales_month_12,total_sales,avg_sales_per_month,success,category_Clothing,category_Electronics,category_Health,category_Home & Kitchen,category_Sports,category_Toys,sales_variability,sales_trend,price_bucket_Medium,price_bucket_High
1,Hoodie,-0.3962837236980608,-1.1340638568934804,-1.08640465639116,479,449,92,784,604,904,446,603,807,252,695,306,0.4044132778299419,0.4044132778299419,1,True,False,False,False,False,False,243.90067215731054,1.2284313725490197,True,False
2,Cookware Set,1.5769317289387417,0.1472677078400388,1.3344757841717076,21,989,861,863,524,128,610,436,176,294,772,353,0.0071467640848355,0.007146764084835,1,False,False,False,True,False,False,320.33395216412964,0.7584179583110636,False,True
3,Train Set,0.8279124270367066,1.257755063942422,-1.288440066511341,348,558,567,143,771,409,290,828,340,667,267,392,-0.4435591537934957,-0.4435591537934962,0,False,False,False,False,False,True,212.46475643567976,0.90020366598778,False,True
4,Remote Car,0.371277714995932,0.7452224380490142,1.5046108663781756,725,678,59,15,937,421,670,933,56,157,168,203,-1.0061853331583923,-1.006185333158393,0,False,False,False,False,False,True,351.50649806485535,0.36114911080711354,True,False
5,Self-Help Book,-1.144680341901858,1.0014887509957182,-1.08640465639116,682,451,649,301,620,293,411,258,854,548,770,257,0.0747022372343841,0.0747022372343834,1,False,False,False,False,False,False,208.8700480435071,0.8838383838383839,False,False
6,Action Figure,-1.1447495289794398,0.4889561251023105,-0.9091806124260892,834,288,38,422,329,245,614,979,851,630,738,485,0.4366785784386814,0.4366785784386811,1,False,False,False,False,False,True,284.86045227922966,1.597413793103448,False,False
7,Laptop,-1.4800992940190814,0.6598003337334462,0.3739214658810237,565,140,539,244,188,700,896,965,447,66,32,516,-0.7278971154080135,-0.7278971154080139,0,False,True,False,False,False,False,313.43333349446823,0.4935691318327974,False,False
8,Camera,1.2874529963359227,1.1723329596268544,1.345109226809612,905,83,48,926,94,555,280,102,202,753,376,445,-1.26128286609624,-1.2612828660962403,0,False,True,False,False,False,False,322.39063214828326,1.5193050193050193,False,True
9,Camera,0.3796493513833465,-0.8777975439467767,1.1395293358101295,809,693,419,106,616,85,42,992,696,298,213,708,-0.3457549613232538,-0.3457549613232545,0,False,True,False,False,False,False,320.254858265139,0.6345653305570015,True,False
10,Shirt,0.7459949271796952,-0.0235765007910971,-0.4483980981169049,319,390,636,87,7,555,485,566,632,462,561,179,-1.1503708952536975,-1.1503708952536984,0,True,False,False,False,False,False,214.3681872316172,0.8936802973977696,False,True
